m0,10thingsihateaboutyou,1999,6.90,62847,['comedy''romance']
m1,1492:conquestofparadise,1992,6.20,10421,['adventure''biography''drama''history']
m2,15minutes,2001,6.10,25854,['action''crime''drama''thriller']
m3,2001:aspaceodyssey,1968,8.40,163227,['adventure''mystery''sci-fi']
m4,48hrs.,1982,6.90,22289,['action''comedy''crime''drama''thriller']
m5,thefifthelement,1997,7.50,133756,['action''adventure''romance''sci-fi''thriller']
m6,8mm,1999,6.30,48212,['crime''mystery''thriller']
m7,anightmareonelmstreet4:thedreammaster,1988,5.20,13590,['fantasy''horror''thriller']
m8,anightmareonelmstreet:thedreamchild,1989,4.70,11092,['fantasy''horror''thriller']
m9,theatomicsubmarine,1959,4.90,513,['sci-fi''thriller']
m10,affliction,1997,6.90,7252,['drama''mystery''thriller']
m11,airforceone,1997,6.30,61978,['action''drama''thriller']
m12,airplaneii:thesequel,1982,5.80,15210,['comedy''romance''sci-fi']
m13,airplane!,1980,7.80,57692,['comedy''romance']
m14,aliennation,1988,6.10,5590,['crime''drama''sci-fi''thriller']
m15,aliens,1986,8.50,173518,['action''sci-fi''thriller']
m16,amadeus,1984,8.40,99138,['biography''drama''music']
m17,anamericanwerewolfinlondon,1981,7.50,24443,['horror''romance']
m18,americanmadness,1932,7.40,702,['drama']
m19,americanoutlaws,2001,5.70,7425,['action''western']
m20,americanpsycho,2000,7.40,101357,['drama''thriller']
m21,antitrust,2001,6.00,16453,['drama''thriller']
m22,austinpowers:internationalmanofmystery,1997,7.10,75240,['action''adventure''comedy''crime']
m23,theavengers,1998,3.40,21519,['action''adventure''thriller']
m24,bachelorparty,1984,5.90,14050,['comedy''romance']
m25,backdraft,1991,6.60,28541,['action''crime''drama''mystery''thriller']
m26,badlieutenant,1992,6.90,13908,['crime''drama']
m27,bamboozled,2000,6.30,5995,['comedy''drama''music']
m28,barrylyndon,1975,8.10,40622,['drama''romance''war']
m29,basic,2003,6.30,26295,['crime''drama''mystery''thriller']
m30,bigfish,2003,8.10,144264,['adventure''drama''fantasy']
m31,birthdaygirl,2001,6.00,13497,['comedy''crime''romance''thriller']
m32,blacksnakemoan,2006,7.10,28509,['drama']
m33,blackrain,1989/I,6.40,16249,['action''crime''drama''thriller']
m34,bladerunner,1982,8.30,188735,['drama''sci-fi''thriller']
m35,blastfromthepast,1999,6.40,23489,['comedy''drama''romance']
m36,bluevelvet,1986,7.80,54576,['crime''mystery''thriller']
m37,theboondocksaints,1999,7.80,87895,['action''crime''drama''thriller']
m38,bottlerocket,1996,7.20,22303,['comedy''crime']
m39,thebournesupremacy,2004,7.60,106349,['action''adventure''mystery''thriller']
m40,braveheart,1995,8.40,245652,['action''biography''drama''history''war']
m41,thebutterflyeffect,2004,7.80,104917,['drama''mystery''sci-fi''thriller']
m42,casablanca,1942,8.80,170874,['drama''romance''war']
m43,castaway,2000,7.50,104477,['adventure''drama']
m44,theciderhouserules,1999,7.50,38836,['drama''romance']
m45,confidence,2003,6.80,17235,['crime''thriller']
m46,croupier,1998,7.20,9060,['crime''drama']
m47,darkstar,1974,6.50,8303,['comedy''sci-fi''thriller']
m48,darkangel,1990,5.30,3452,['action''crime''drama''horror''sci-fi''thriller']
m49,detroitrockcity,1999,6.50,14666,['comedy''music']
m50,donniedarko,2001,8.30,215194,['drama''mystery''sci-fi']
m51,dropdeadgorgeous,1999,6.30,16417,['comedy''adult']
m52,ducksoup,1933,8.10,27112,['comedy''musical']
m53,theelephantman,1980,8.40,59625,['biography''drama''history']
m54,eriktheviking,1989,5.90,5889,['comedy''adventure''fantasy']
m55,eternalsunshineofthespotlessmind,2004,8.50,224838,['drama''romance''sci-fi']
m56,evencowgirlsgettheblues,1993,4.00,3947,['comedy''drama''romance''western']
m57,eventhorizon,1997,6.40,45497,['horror''mystery''mystery''sci-fi''sci-fi']
m58,fantasticfour,2005,5.70,72581,['action''adventure''fantasy''sci-fi''fantasy']
m59,fasttimesatridgemonthigh,1982,7.20,31710,['comedy''drama''romance']
m60,fearandloathinginlasvegas,1998,7.60,82748,['drama''fantasy']
m61,feast,2005,6.40,12248,['action''comedy''horror''thriller']
m62,frances,1982,7.20,2756,['biography''drama']
m63,frankenstein,1931,8.00,23522,['drama''horror''sci-fi']
m64,fridaythe13th,2009,5.60,27499,['horror']
m65,fromdusktilldawn,1996,7.10,81559,['action''crime''horror''thriller']
m66,g.i.jane,1997,5.60,24068,['action''drama']
m67,godzilla,1998,4.90,60310,['action''horror''sci-fi''thriller']
m68,galaxyquest,1999,7.20,53004,['action''adventure''comedy''sci-fi']
m69,georgewashington,2000,7.50,3142,['drama']
m70,getshorty,1995,6.90,33588,['comedy''crime''thriller']
m71,ghostship,2002,5.30,26413,['horror''mystery''thriller']
m72,ghostworld,2001,7.70,43550,['comedy''drama']
m73,theghostandthedarkness,1996,6.60,19954,['adventure''drama''thriller']
m74,ghostbustersii,1989,6.10,45450,['action''adventure''comedy''fantasy''sci-fi''action''adventure''comedy''sci-fi']
m75,ghostbusters,1986,6.90,237,['animation''comedy''fantasy''sci-fi''horror']
m76,gladiator,2000,8.40,286067,['action''adventure''drama']
m77,thegraduate,1967,8.20,79677,['comedy''drama''romance']
m78,grandhotel,1932,7.70,6088,['drama''romance']
m79,thegrifters,1990,7.00,11481,['crime''drama''thriller']
m80,halloweenh20:20yearslater,1998,5.40,22353,['drama''horror''thriller']
m81,halloween:thecurseofmichaelmyers,1995,4.50,8743,['horror''thriller']
m82,happybirthdaywandajune,1971,5.80,144,['comedy''drama']
m83,hardcore,1979,6.70,2455,['drama']
m84,haroldandmaude,1971,8.10,28689,['comedy''romance']
m85,hellbound:hellraiserii,1988,6.20,11273,['drama''horror''thriller']
m86,hellboy,2004,6.80,68619,['action''adventure''fantasy']
m87,hellraiser,1987,7.00,22922,['horror']
m88,highfidelity,2000,7.60,70464,['comedy''drama''music''romance']
m89,highlander,1986,7.20,41243,['action''fantasy']
m90,hisgirlfriday,1940,8.10,20870,['comedy''drama''romance']
m91,hopeandglory,1987,7.40,4965,['drama''war']
m92,houseof1000corpses,2003,5.60,27033,['horror']
m93,humannature,2001,6.30,10017,['comedy''drama']
