u0,BIANCA,m0,10thingsihateaboutyou,f,4
u1,BRUCE,m0,10thingsihateaboutyou,?,?
u2,CAMERON,m0,10thingsihateaboutyou,m,3
u3,CHASTITY,m0,10thingsihateaboutyou,?,?
u4,JOEY,m0,10thingsihateaboutyou,m,6
u5,KAT,m0,10thingsihateaboutyou,f,2
u6,MANDELLA,m0,10thingsihateaboutyou,f,7
u7,MICHAEL,m0,10thingsihateaboutyou,m,5
u8,MISSPERKY,m0,10thingsihateaboutyou,?,?
u9,PATRICK,m0,10thingsihateaboutyou,m,1
u10,SHARON,m0,10thingsihateaboutyou,?,?
u11,WALTER,m0,10thingsihateaboutyou,m,9
u12,ALONSO,m1,1492:conquestofparadise,?,?
u13,AROJAZ,m1,1492:conquestofparadise,?,?
u14,BEATRIX,m1,1492:conquestofparadise,?,?
u15,BOBADILLA,m1,1492:conquestofparadise,?,?
u16,COLUMBUS,m1,1492:conquestofparadise,m,1
u17,FERNANDO,m1,1492:conquestofparadise,?,?
u18,ISABEL,m1,1492:conquestofparadise,?,?
u19,MARCHENA,m1,1492:conquestofparadise,m,6
u20,MENDEZ,m1,1492:conquestofparadise,?,?
u21,MOXICA,m1,1492:conquestofparadise,?,?
u22,PINZON,m1,1492:conquestofparadise,?,?
u23,SAILOR,m1,1492:conquestofparadise,?,?
u24,SANCHEZ,m1,1492:conquestofparadise,?,?
u25,UTAPAN,m1,1492:conquestofparadise,?,?
u26,CUTLER,m2,15minutes,m,?
u27,DAPHNE,m2,15minutes,f,8
u28,DUFFY,m2,15minutes,?,?
u29,EDDIE,m2,15minutes,m,1
u30,EMIL,m2,15minutes,m,6
u31,HAWKINS,m2,15minutes,?,?
u32,HONEY,m2,15minutes,?,?
u33,IMMIGRATIONOFFICER,m2,15minutes,?,?
u34,JORDY,m2,15minutes,m,2
u35,KORFIN,m2,15minutes,m,9
u36,LEON,m2,15minutes,?,?
u37,MAGGIE,m2,15minutes,?,?
u38,MAX,m2,15minutes,?,?
u39,MILOS,m2,15minutes,?,?
